"station","datetime","thermo.depth","ele.thermo.depth","top","ele.meta.top","bottom","ele.meta.bottom","secchi_m","ele.secchi","bottom.depth_m","ele.bottom","ele.sampling"
"clc",2017-06-21,7.30607600773451,385.493173992265,6.80419041217277,385.995059587827,9.45898823052515,383.340261769475,3.87,388.92925,17,375.79925,390.79925
"clc",2017-07-05,3.79020225788086,388.136172742119,8.99302373196558,382.933351268034,9.35820905263401,382.568165947366,2,389.926375,17.7,374.226375,389.926375
"clc",2017-07-14,9.25,382.306333333333,10.6553446380519,380.900988695281,10.6553446380519,380.900988695281,2.85,388.706333333333,17.1,374.456333333333,389.556333333333
"clc",2017-07-18,8.30410636210619,383.197893637894,7.87294894971482,383.629051050285,8.90809192042655,382.593908079573,1.4,390.102,17.3,374.202,389.502
"clc",2017-07-25,9.25,382.068291666667,8.78641219800535,382.531879468662,10.2089672241466,381.10932444252,1.26,390.058291666667,17.2,374.118291666667,389.318291666667
"clc",2017-08-01,6.72070910843479,383.864124224898,6.40366689382048,384.181166439513,6.99880242036825,383.586030912965,1.53,389.054833333333,16.2,374.384833333333,388.584833333333
"clc",2017-08-10,15.2681997455756,374.971050254424,14.9204436667225,375.318806333278,15.5,374.73925,1.35,388.88925,15.9,374.33925,388.23925
"clc",2017-08-17,14.6702679850474,375.292232014953,14.3408882403203,375.62161175968,15,374.9625,1.42,388.5425,15.6,374.3625,387.9625
"cle",2017-07-05,7.31777624474897,384.608598755251,7.23190993995851,384.694465060041,7.43939200985172,384.486982990148,0.94,390.986375,9.1,382.826375,389.926375
"cle",2017-07-11,6.15913649016753,385.432780176499,4.54945805522746,387.04245861144,6.71267813414046,384.879238532527,1.77,389.821916666667,8.75,382.841916666667,389.591916666667
"cle",2017-07-19,7.30428154440357,384.167801788929,6.39211576990048,385.079967563432,8.5,382.972083333333,0.83,390.642083333333,9.1,382.372083333333,389.472083333333
"cle",2017-07-25,6.62712350348057,384.691168163186,5.01574459640084,386.302547070266,7.36252995308744,383.95576171358,1.1,390.218291666667,8.8,382.518291666667,389.318291666667
"cle",2017-07-31,6.75,383.875208333333,6.44372930357941,384.181479029754,7,383.625208333333,1.05,389.575208333333,8,382.625208333333,388.625208333333
"cle",2017-08-10,6.75,383.48925,6.39621814045117,383.843031859549,7,383.23925,0.94,389.29925,7.65,382.58925,388.23925
"cle",2017-08-17,2.36063526878199,387.601864731218,2.36063526878199,387.601864731218,2.36063526878199,387.601864731218,1.05,388.9125,7.4,382.5625,387.9625
"clw",2017-07-11,8.08811420188612,383.503802464781,7.36559699371902,384.226319672948,8.24977992253435,383.342136744133,2.35,389.241916666667,11.3,380.291916666667,389.591916666667
"clw",2017-07-19,8.72465133692835,382.747431996405,9.46872675568998,382.003356577643,10.5,380.972083333333,1.67,389.802083333333,11.1,380.372083333333,389.472083333333
"clw",2017-07-25,9.25,382.068291666667,8.87547906831022,382.442812598357,10.2027282826789,381.115563383988,1.18,390.138291666667,11.2,380.118291666667,389.318291666667
"clw",2017-07-31,9.25,381.375208333333,9.25,381.375208333333,9.25,381.375208333333,1.3,389.325208333333,10.4,380.225208333333,388.625208333333
"clw",2017-08-10,8.24620848393591,381.993041516064,7.94455474768448,382.294695252316,8.54325341576007,381.69599658424,1.07,389.16925,9.9,380.33925,388.23925
"clw",2017-08-17,8.75,381.2125,8.30391636614128,381.658583633859,9,380.9625,1.09,388.8725,9.6,380.3625,387.9625
