site,date,temp.C,pressure.mmhg,DO.mgl,spc,pH,FNU,PC_RFU,PC,Chl_RFU,Chl,depth.sonde.m,depth.adj
clc,2017-08-10,22.05,731.9,6.71,403.2,8.42,2.31,0.472,0.48,0.925,3.86,4.426,4.5
clc,2017-08-10,22.022,731.9,6.54,402.8,8.4,2.35,0.454,0.46,0.89,3.72,4.89,5
clc,2017-08-10,22.023,731.9,6.55,402.8,8.4,2.39,0.46,0.46,0.871,3.65,4.889,5
clc,2017-08-10,22.024,731.9,6.55,402.8,8.4,2.3,0.463,0.47,0.885,3.7,4.889,5
clc,2017-08-10,21.932,731.8,6.27,402.9,8.37,2.14,0.368,0.37,0.753,3.17,5.463,5.5
clc,2017-08-10,21.932,731.9,6.27,402.9,8.37,2.08,0.39,0.39,0.707,2.99,5.468,5.5
clc,2017-08-10,21.935,731.9,6.28,402.9,8.37,2.11,0.385,0.39,0.72,3.04,5.474,5.5
clc,2017-08-10,21.865,731.9,5.84,404,8.32,2.35,0.314,0.32,0.763,3.21,5.935,6
clc,2017-08-10,21.864,732,5.83,404,8.31,2.21,0.295,0.3,0.716,3.02,5.932,6
clc,2017-08-10,21.865,731.8,5.83,404,8.31,2.28,0.301,0.3,0.741,3.13,5.925,6
clc,2017-08-10,21.839,731.9,5.43,404.8,8.27,2.26,0.283,0.29,0.739,3.12,6.481,6.5
clc,2017-08-10,21.839,731.9,5.46,404.8,8.27,2.36,0.281,0.28,0.731,3.09,6.482,6.5
clc,2017-08-10,21.84,732,5.49,404.7,8.27,2.32,0.287,0.29,0.741,3.13,6.486,6.5
clc,2017-08-10,21.81,731.8,5.03,406,8.22,2.13,0.259,0.26,0.688,2.91,6.933,7
clc,2017-08-10,21.809,731.9,5.03,406,8.22,2.17,0.271,0.27,0.727,3.07,6.932,7
clc,2017-08-10,21.815,731.8,5.06,405.8,8.22,2.39,0.249,0.25,0.728,3.07,6.936,7
clc,2017-08-10,21.727,731.8,4.04,408.2,8.11,2.83,0.206,0.21,0.672,2.85,7.494,7.5
clc,2017-08-10,21.728,731.8,4.07,408.2,8.11,2.95,0.213,0.22,0.649,2.76,7.494,7.5
clc,2017-08-10,21.729,731.8,4.11,408.2,8.11,2.88,0.202,0.2,0.641,2.73,7.495,7.5
clc,2017-08-10,21.589,731.8,2.88,412.5,8.01,2.39,0.17,0.17,0.625,2.66,7.939,8
clc,2017-08-10,21.587,731.8,2.85,412.5,8,2.34,0.168,0.17,0.638,2.71,7.939,8
clc,2017-08-10,21.586,731.8,2.83,412.5,8,2.29,0.177,0.18,0.616,2.62,7.939,8
clc,2017-08-10,21.524,731.8,2.29,415.3,7.94,3.4,0.203,0.2,0.637,2.71,8.515,8.5
clc,2017-08-10,21.524,731.8,2.29,415.3,7.94,3.48,0.179,0.18,0.66,2.8,8.516,8.5
clc,2017-08-10,21.524,731.8,2.29,415.3,7.93,3.54,0.155,0.16,0.593,2.53,8.515,8.5
clc,2017-08-10,21.471,731.9,2.07,415.5,7.91,4.87,0.136,0.14,0.594,2.54,8.959,9
clc,2017-08-10,21.471,731.9,2.08,415.4,7.91,4.76,0.162,0.16,0.577,2.47,8.96,9
clc,2017-08-10,21.472,731.9,2.08,415.5,7.91,4.82,0.154,0.16,0.578,2.47,8.959,9
clc,2017-08-10,21.413,731.8,1.38,418.9,7.86,4.51,0.124,0.13,0.556,2.38,9.483,9.5
clc,2017-08-10,21.415,731.8,1.4,418.9,7.86,4.52,0.138,0.14,0.526,2.26,9.481,9.5
clc,2017-08-10,21.418,731.8,1.43,418.8,7.86,4.58,0.143,0.14,0.529,2.28,9.48,9.5
clc,2017-08-10,21.364,731.8,1.17,419.1,7.84,4.94,0.162,0.16,0.51,2.2,9.9,10
clc,2017-08-10,21.364,731.9,1.17,419.1,7.84,5.06,0.154,0.16,0.504,2.18,9.897,10
clc,2017-08-10,21.367,731.9,1.18,419.2,7.84,4.99,0.131,0.13,0.515,2.22,9.895,10
clc,2017-08-10,21.335,731.8,1.06,419.2,7.83,5.25,0.133,0.13,0.515,2.22,10.504,10.5
clc,2017-08-10,21.336,731.8,1.06,419.2,7.83,5.19,0.109,0.11,0.523,2.25,10.502,10.5
clc,2017-08-10,21.337,731.9,1.06,419.2,7.83,4.96,0.116,0.12,0.53,2.28,10.5,10.5
clc,2017-08-10,21.314,731.8,0.98,419.6,7.82,5.39,0.115,0.12,0.513,2.21,10.935,11
clc,2017-08-10,21.312,731.8,0.98,419.6,7.82,5.41,0.111,0.11,0.488,2.11,10.929,11
clc,2017-08-10,21.31,731.8,0.97,419.6,7.82,5.37,0.116,0.12,0.496,2.14,10.929,11
clc,2017-08-10,21.281,731.8,0.87,420.2,7.81,5.32,0.127,0.13,0.517,2.23,11.477,11.5
clc,2017-08-10,21.281,731.8,0.87,420.3,7.81,5.26,0.106,0.11,0.488,2.11,11.475,11.5
clc,2017-08-10,21.28,731.8,0.86,420.3,7.81,5.18,0.108,0.11,0.477,2.07,11.481,11.5
clc,2017-08-10,21.258,731.8,0.75,420.9,7.8,5.07,0.151,0.15,0.532,2.29,11.951,12
clc,2017-08-10,21.258,731.8,0.76,421,7.8,5.25,0.121,0.12,0.553,2.37,11.951,12
clc,2017-08-10,21.256,731.8,0.76,421.2,7.8,5.36,0.124,0.13,0.553,2.37,11.95,12
clc,2017-08-10,21.206,731.8,0.57,422.3,7.79,4.92,0.108,0.11,0.478,2.07,12.496,12.5
clc,2017-08-10,21.206,731.8,0.57,422.3,7.79,4.95,0.092,0.09,0.484,2.1,12.497,12.5
clc,2017-08-10,21.206,731.8,0.58,422.3,7.79,5.09,0.103,0.1,0.482,2.09,12.496,12.5
clc,2017-08-10,21.206,731.9,0.58,422.3,7.79,5.04,0.106,0.11,0.495,2.14,12.496,12.5
clc,2017-08-10,21.079,731.9,0.14,425.5,7.77,7.12,0.107,0.11,0.53,2.28,12.94,13
clc,2017-08-10,21.085,731.9,0.18,425.4,7.77,7.13,0.119,0.12,0.541,2.32,12.937,13
clc,2017-08-10,21.087,731.8,0.19,425.3,7.77,7.09,0.115,0.12,0.552,2.37,12.935,13
clc,2017-08-10,21.047,731.8,0.01,427.9,7.76,6.02,0.095,0.1,0.542,2.33,13.47,13.5
clc,2017-08-10,21.048,731.8,0.01,427.9,7.76,6.14,0.09,0.09,0.559,2.4,13.469,13.5
clc,2017-08-10,21.048,731.9,0,428,7.76,6.07,0.106,0.11,0.539,2.32,13.469,13.5
clc,2017-08-10,20.895,731.8,-0.02,432.3,7.75,7.89,0.107,0.11,0.493,2.13,13.953,14
clc,2017-08-10,20.896,731.8,-0.02,432.3,7.75,7.9,0.114,0.12,0.499,2.16,13.952,14
clc,2017-08-10,20.966,731.9,-0.03,430.6,7.74,6.13,0.078,0.08,0.524,2.26,13.908,14
clc,2017-08-10,20.797,731.8,-0.02,432.5,7.74,14.49,0.152,0.15,0.564,2.42,14.475,14.5
clc,2017-08-10,20.797,731.8,-0.02,432.5,7.74,14.52,0.151,0.15,0.569,2.44,14.474,15
clc,2017-08-10,20.797,731.8,-0.02,432.4,7.75,14.61,0.119,0.12,0.558,2.39,14.468,15
clc,2017-08-10,20.769,731.8,-0.03,433.9,7.75,14.25,0.103,0.1,0.537,2.31,14.891,15
clc,2017-08-10,20.765,731.9,-0.03,433.8,7.74,14.39,0.118,0.12,0.538,2.31,14.9,15
clc,2017-08-10,20.761,731.8,-0.03,433.8,7.74,14.35,0.131,0.13,0.561,2.4,14.91,15
clc,2017-08-10,20.13,731.8,-0.03,446,7.73,22.01,0.148,0.15,0.557,2.39,15.476,15.5
clc,2017-08-10,20.127,731.8,-0.03,446,7.73,22.28,0.147,0.15,0.587,2.51,15.478,15.5
clc,2017-08-10,20.141,731.8,-0.03,445.2,7.73,22.05,0.152,0.15,0.588,2.51,15.482,15.5
cle,2017-08-10,23.343,732.6,10.44,412.1,8.72,7.08,1.662,1.68,3.134,12.72,0.144,0
cle,2017-08-10,23.343,732.6,10.44,412.1,8.72,6.82,1.651,1.67,3.116,12.65,0.146,0
cle,2017-08-10,23.343,732.7,10.43,412.1,8.72,6.76,1.648,1.66,3.125,12.68,0.147,0
cle,2017-08-10,23.265,732.7,10.31,412,8.71,6.91,1.832,1.85,3.876,15.69,0.58,0.5
cle,2017-08-10,23.265,732.7,10.32,411.9,8.71,6.71,1.843,1.86,3.911,15.84,0.58,0.5
cle,2017-08-10,23.266,732.7,10.32,412,8.71,6.73,1.834,1.85,3.929,15.91,0.58,0.5
cle,2017-08-10,23.277,732.7,10.4,411.9,8.71,6.76,1.882,1.9,3.704,15,0.591,0.5
cle,2017-08-10,23.277,732.6,10.4,412,8.71,6.2,1.84,1.86,3.692,14.96,0.592,0.5
cle,2017-08-10,23.276,732.6,10.4,412,8.71,6.41,1.837,1.85,3.649,14.79,0.593,0.5
cle,2017-08-10,23.027,732.7,9.41,413.1,8.64,7.61,1.585,1.6,3.678,14.9,1.002,1
cle,2017-08-10,23.03,732.7,9.42,413.1,8.64,7.82,1.598,1.61,3.624,14.69,1.004,1
cle,2017-08-10,23.032,732.7,9.42,413,8.64,8.06,1.588,1.6,3.638,14.74,1.006,1
cle,2017-08-10,22.876,732.7,8.33,415,8.55,5.91,1.558,1.57,2.41,9.82,1.477,1.5
cle,2017-08-10,22.876,732.7,8.32,415,8.55,5.75,1.673,1.69,2.365,9.64,1.479,1.5
cle,2017-08-10,22.876,732.7,8.32,415,8.55,5.53,1.574,1.59,2.365,9.64,1.48,1.5
cle,2017-08-10,22.794,732.7,7.92,415.4,8.51,6.41,1.483,1.5,1.49,6.13,2.027,2
cle,2017-08-10,22.794,732.7,7.92,415.4,8.51,6.33,1.5,1.51,1.522,6.26,2.027,2
cle,2017-08-10,22.794,732.6,7.92,415.4,8.51,6.22,1.429,1.44,1.529,6.29,2.027,2
cle,2017-08-10,22.731,732.6,7.58,416.1,8.42,6.47,1.198,1.21,1.673,6.86,2.469,2.5
cle,2017-08-10,22.73,732.7,7.58,416.1,8.42,6.64,1.189,1.2,1.628,6.68,2.472,2.5
cle,2017-08-10,22.731,732.6,7.58,416.1,8.42,7.09,1.242,1.25,1.561,6.41,2.474,2.5
cle,2017-08-10,22.714,732.7,7.51,416.1,8.41,5.56,0.928,0.94,1.323,5.46,2.93,3
cle,2017-08-10,22.714,732.7,7.5,416.1,8.41,6.01,0.881,0.89,1.232,5.09,2.932,3
cle,2017-08-10,22.714,732.7,7.5,416.1,8.41,5.8,0.885,0.89,1.3,5.37,2.932,3
cle,2017-08-10,22.699,732.7,7.36,416.3,8.38,5.38,0.685,0.69,1.027,4.27,3.475,3.5
cle,2017-08-10,22.699,732.7,7.36,416.3,8.38,5.35,0.66,0.67,0.996,4.15,3.475,3.5
cle,2017-08-10,22.7,732.7,7.36,416.3,8.38,5.63,0.66,0.67,1.004,4.18,3.475,3.5
cle,2017-08-10,22.669,732.7,7.09,416.6,8.34,5.54,0.529,0.53,0.688,2.91,4.048,4
cle,2017-08-10,22.668,732.6,7.09,416.6,8.34,5.48,0.538,0.54,0.692,2.93,4.048,4
cle,2017-08-10,22.668,732.6,7.09,416.6,8.34,5.35,0.516,0.52,0.702,2.97,4.048,4
cle,2017-08-10,22.652,732.6,7.01,416.3,8.32,4.78,0.405,0.41,0.671,2.85,4.467,4.5
cle,2017-08-10,22.652,732.7,7,416.3,8.32,4.91,0.392,0.4,0.681,2.89,4.469,4.5
cle,2017-08-10,22.652,732.7,7,416.3,8.32,4.7,0.384,0.39,0.683,2.9,4.471,4.5
cle,2017-08-10,22.653,732.6,7,416.3,8.32,4.26,0.434,0.44,0.682,2.89,4.488,4.5
cle,2017-08-10,22.653,732.7,7,416.3,8.32,4.44,0.423,0.43,0.699,2.96,4.489,4.5
cle,2017-08-10,22.653,732.7,7,416.3,8.32,4.32,0.423,0.43,0.706,2.99,4.489,4.5
cle,2017-08-10,22.608,732.6,6.75,416.3,8.28,4.88,0.283,0.29,0.559,2.4,4.964,5
cle,2017-08-10,22.609,732.6,6.75,416.3,8.28,4.97,0.281,0.28,0.541,2.33,4.964,5
cle,2017-08-10,22.61,732.6,6.76,416.2,8.28,5.03,0.296,0.3,0.543,2.33,4.964,5
cle,2017-08-10,22.445,732.7,6.04,422.3,8.18,8.75,0.195,0.2,0.617,2.63,5.466,5.5
cle,2017-08-10,22.448,732.7,6.02,421.7,8.18,8.04,0.196,0.2,0.595,2.54,5.467,5.5
cle,2017-08-10,22.447,732.7,6.03,422,8.18,8.43,0.197,0.2,0.604,2.58,5.467,5.5
cle,2017-08-10,22.172,732.6,4.86,435.2,8.01,11.62,0.177,0.18,0.701,2.96,5.964,6
cle,2017-08-10,22.172,732.7,4.86,435.2,8.01,11.65,0.181,0.18,0.702,2.97,5.965,6
cle,2017-08-10,22.172,732.7,4.86,435.2,8.01,11.69,0.182,0.18,0.717,3.03,5.965,6
cle,2017-08-10,22.062,732.7,4.26,442.3,7.93,30.46,0.258,0.26,0.884,3.7,6.486,6.5
cle,2017-08-10,22.063,732.7,4.25,442.2,7.93,30.68,0.249,0.25,0.875,3.66,6.487,6.5
cle,2017-08-10,22.063,732.7,4.25,442.2,7.93,30.56,0.258,0.26,0.883,3.69,6.487,6.5
cle,2017-08-10,21.575,732.7,3.34,469.2,7.77,48.04,0.419,0.42,1.463,6.02,7,7
cle,2017-08-10,21.571,732.7,3.33,469.3,7.77,47.79,0.403,0.41,1.447,5.96,7.001,7
cle,2017-08-10,21.567,732.7,3.33,469.4,7.77,47.29,0.394,0.4,1.441,5.93,7.002,7
clw,2017-08-10,22.698,732.5,9.53,400.2,8.73,4.55,1.41,1.42,2.303,9.39,0.196,0
clw,2017-08-10,22.698,732.6,9.53,400.1,8.73,4.5,1.392,1.4,2.316,9.44,0.197,0
clw,2017-08-10,22.698,732.5,9.53,400.1,8.73,4.4,1.358,1.37,2.33,9.5,0.198,0
clw,2017-08-10,22.651,732.5,9.54,400.1,8.73,4.95,1.435,1.45,2.707,11.01,0.578,0.5
clw,2017-08-10,22.656,732.5,9.54,400.1,8.73,4.87,1.421,1.43,2.693,10.95,0.579,0.5
clw,2017-08-10,22.662,732.5,9.54,400.1,8.73,4.81,1.381,1.39,2.61,10.62,0.58,0.5
clw,2017-08-10,22.544,732.5,9.5,400.3,8.72,4.75,1.68,1.69,3.067,12.45,1.021,1
clw,2017-08-10,22.544,732.5,9.49,400.3,8.72,5.31,1.765,1.78,3.109,12.62,1.022,1
clw,2017-08-10,22.544,732.5,9.49,400.3,8.72,5.13,1.722,1.74,3.134,12.72,1.022,1
clw,2017-08-10,22.321,732.6,9.14,400.8,8.68,4.6,1.642,1.66,2.345,9.56,1.459,1.5
clw,2017-08-10,22.32,732.5,9.14,400.9,8.68,4.59,1.622,1.64,2.329,9.49,1.459,1.5
clw,2017-08-10,22.32,732.5,9.13,401,8.68,4.51,1.615,1.63,2.266,9.24,1.459,1.5
clw,2017-08-10,22.237,732.4,8.64,401.7,8.62,4.76,1.329,1.34,1.902,7.78,1.959,2
clw,2017-08-10,22.236,732.4,8.63,401.7,8.62,4.63,1.356,1.37,1.837,7.52,1.96,2
clw,2017-08-10,22.234,732.5,8.62,401.8,8.62,4.48,1.335,1.35,1.795,7.35,1.96,2
clw,2017-08-10,22.173,732.5,8.16,402.6,8.56,4.56,1.301,1.31,1.52,6.25,2.456,2.5
clw,2017-08-10,22.17,732.4,8.15,402.6,8.56,4.34,1.266,1.28,1.484,6.1,2.457,2.5
clw,2017-08-10,22.174,732.4,8.17,402.5,8.56,4.47,1.296,1.31,1.52,6.25,2.457,2.5
clw,2017-08-10,22.171,732.4,8.15,402.6,8.56,4.37,1.238,1.25,1.518,6.24,2.458,2.5
clw,2017-08-10,22.155,732.4,8.03,402.7,8.53,4.44,1.128,1.14,1.602,6.58,2.933,3
clw,2017-08-10,22.153,732.5,8.02,402.8,8.53,4.26,1.154,1.16,1.487,6.12,2.949,3
clw,2017-08-10,22.154,732.5,8.02,402.7,8.53,4.46,1.19,1.2,1.495,6.15,2.95,3
clw,2017-08-10,22.142,732.5,7.98,402.8,8.53,4.45,1.061,1.07,1.579,6.49,3.466,3.5
clw,2017-08-10,22.143,732.5,7.98,402.8,8.53,4.01,1.015,1.02,1.434,5.91,3.467,3.5
clw,2017-08-10,22.142,732.5,7.97,402.8,8.53,4.02,0.972,0.98,1.394,5.74,3.468,3.5
clw,2017-08-10,22.137,732.4,7.99,402.8,8.51,4.26,1.095,1.1,1.324,5.46,3.936,4
clw,2017-08-10,22.134,732.5,7.96,403,8.51,4.17,1.132,1.14,1.379,5.69,3.936,4
clw,2017-08-10,22.133,732.4,7.91,403,8.5,3.98,1.121,1.13,1.428,5.88,3.937,4
clw,2017-08-10,22.133,732.5,7.89,402.9,8.48,6.22,0.908,0.92,1.298,5.36,4.45,4.5
clw,2017-08-10,22.133,732.4,7.89,402.9,8.48,6.07,0.936,0.94,1.301,5.37,4.45,4.5
clw,2017-08-10,22.133,732.4,7.89,402.9,8.49,4.16,0.978,0.99,1.798,7.36,4.45,4.5
clw,2017-08-10,22.128,732.4,7.79,403.2,8.47,4.49,0.925,0.93,1.277,5.28,4.925,5
clw,2017-08-10,22.127,732.5,7.79,403.2,8.47,4.25,0.892,0.9,1.269,5.24,4.926,5
clw,2017-08-10,22.127,732.5,7.76,403.3,8.46,4.19,0.932,0.94,1.093,4.54,4.928,5
clw,2017-08-10,22.11,732.5,7.48,403.9,8.43,4.16,0.844,0.85,1.249,5.16,5.502,5.5
clw,2017-08-10,22.108,732.5,7.49,403.9,8.43,4.02,0.814,0.82,1.286,5.31,5.505,5.5
clw,2017-08-10,22.11,732.5,7.5,403.9,8.43,4.01,0.856,0.86,1.316,5.43,5.507,5.5
clw,2017-08-10,22.087,732.4,7.58,403.9,8.43,4.27,0.824,0.83,1.481,6.09,5.931,6
clw,2017-08-10,22.089,732.5,7.57,403.9,8.43,4.12,0.849,0.86,1.456,5.99,5.932,6
clw,2017-08-10,22.09,732.5,7.55,403.9,8.43,3.99,0.837,0.84,1.415,5.83,5.933,6
clw,2017-08-10,22.033,732.5,7.21,404.7,8.39,4.45,0.726,0.73,1.501,6.17,6.467,6.5
clw,2017-08-10,22.033,732.5,7.17,404.6,8.39,5.13,0.722,0.73,1.477,6.08,6.477,6.5
clw,2017-08-10,22.031,732.5,7.18,404.8,8.39,4.44,0.753,0.76,1.486,6.11,6.479,6.5
clw,2017-08-10,21.951,732.4,6.42,406.2,8.29,4.08,0.56,0.57,1.588,6.52,6.968,7
clw,2017-08-10,21.954,732.4,6.48,406.2,8.3,4.08,0.605,0.61,1.661,6.82,6.968,7
clw,2017-08-10,21.95,732.4,6.5,406.3,8.3,4.1,0.693,0.7,1.6,6.57,6.969,7
clw,2017-08-10,21.883,732.4,5.96,407.3,8.24,4.07,0.599,0.6,1.524,6.26,7.474,7.5
clw,2017-08-10,21.886,732.4,5.98,407.3,8.24,4.15,0.594,0.6,1.552,6.38,7.474,7.5
clw,2017-08-10,21.879,732.4,5.95,407.4,8.24,4.03,0.593,0.6,1.589,6.52,7.476,7.5
clw,2017-08-10,21.813,732.4,5.55,407.9,8.19,3.91,0.512,0.52,1.598,6.56,7.946,8
clw,2017-08-10,21.812,732.4,5.55,407.9,8.19,3.87,0.501,0.51,1.633,6.7,7.949,8
clw,2017-08-10,21.815,732.4,5.57,407.9,8.19,3.91,0.514,0.52,1.683,6.9,7.951,8
clw,2017-08-10,21.349,732.4,4.27,406.5,7.97,21.57,0.631,0.64,2.72,11.06,8.486,8.5
clw,2017-08-10,21.346,732.4,4.28,406.5,7.96,20.98,0.617,0.62,2.725,11.08,8.488,8.5
clw,2017-08-10,21.344,732.4,4.28,406.5,7.96,21.15,0.597,0.6,2.694,10.96,8.489,8.5
clw,2017-08-10,21.288,732.4,3.79,406.8,7.87,25.87,0.62,0.63,2.856,11.61,8.944,9
clw,2017-08-10,21.288,732.3,3.8,406.8,7.87,25.73,0.609,0.61,2.843,11.56,8.945,9
clw,2017-08-10,21.287,732.4,3.79,406.8,7.87,28.77,0.627,0.63,2.791,11.34,8.945,9
clw,2017-08-10,21.245,732.4,3.47,407.1,7.82,30.42,0.635,0.64,2.801,11.38,9.491,9.5
clw,2017-08-10,21.247,732.4,3.47,407.1,7.82,33.16,0.637,0.64,2.73,11.1,9.493,9.5
clw,2017-08-10,21.247,732.3,3.47,407.1,7.82,32.77,0.673,0.68,2.803,11.4,9.495,9.5
clc,2017-08-17,21.938,726.2,5.8,404.4,8.31,3.55,0.795,0.8,1.924,7.87,0.025,0
clc,2017-08-17,21.946,726.3,5.74,404.2,8.31,3.24,0.821,0.83,1.947,7.96,0.043,0
clc,2017-08-17,21.965,726.2,5.77,404.1,8.31,3.5,0.814,0.82,2.032,8.3,0.054,0
clc,2017-08-17,21.979,726.3,5.73,404.2,8.32,3.45,0.757,0.76,1.821,7.46,0.45,0.5
clc,2017-08-17,21.975,726.2,5.74,404.2,8.32,3.36,0.745,0.75,1.847,7.56,0.472,0.5
clc,2017-08-17,21.973,726.2,5.75,404.2,8.32,3.41,0.729,0.74,1.865,7.63,0.476,0.5
clc,2017-08-17,21.986,726.1,5.67,404.2,8.31,3.91,0.765,0.77,1.898,7.77,0.936,1
clc,2017-08-17,21.984,726.2,5.67,404.3,8.31,3.75,0.776,0.78,1.877,7.68,0.936,1
clc,2017-08-17,21.984,726.2,5.67,404.3,8.31,3.54,0.781,0.79,1.927,7.88,0.937,1
clc,2017-08-17,21.988,726.2,5.63,404.3,8.3,3.87,0.788,0.8,1.95,7.97,1.362,1.5
clc,2017-08-17,21.985,726.2,5.62,404.3,8.3,3.86,0.781,0.79,1.86,7.61,1.362,1.5
clc,2017-08-17,21.984,726.2,5.64,404.3,8.3,3.83,0.757,0.76,1.864,7.63,1.363,1.5
clc,2017-08-17,21.987,726.2,5.61,404.3,8.3,3.79,0.775,0.78,1.963,8.03,1.807,2
clc,2017-08-17,21.984,726.2,5.59,404.4,8.3,3.69,0.749,0.76,1.81,7.41,1.807,2
clc,2017-08-17,21.985,726.2,5.55,404.4,8.3,3.46,0.723,0.73,1.861,7.62,1.807,2
clc,2017-08-17,21.987,726.3,5.52,404.4,8.29,3.54,0.715,0.72,1.803,7.39,2.355,2.5
clc,2017-08-17,21.985,726.2,5.52,404.4,8.29,3.65,0.74,0.75,1.796,7.36,2.353,2.5
clc,2017-08-17,21.984,726.2,5.52,404.4,8.29,3.66,0.739,0.75,2.776,11.29,2.353,2.5
clc,2017-08-17,21.983,726.1,5.51,404.5,8.27,3.62,0.748,0.75,1.931,7.9,2.826,3
clc,2017-08-17,21.97,726.2,5.45,404.8,8.27,3.26,0.717,0.72,1.861,7.62,2.827,3
clc,2017-08-17,21.965,726.2,5.39,404.9,8.26,3.2,0.728,0.73,1.859,7.61,2.831,3
clc,2017-08-17,21.955,726.1,5.13,405.1,8.23,3.49,0.667,0.67,1.89,7.73,3.408,3.5
clc,2017-08-17,21.954,726.3,5.13,405.1,8.23,3.45,0.659,0.66,1.847,7.56,3.409,3.5
clc,2017-08-17,21.952,726.2,5.13,405.1,8.23,3.3,0.654,0.66,1.804,7.39,3.41,3.5
clc,2017-08-17,21.939,726.2,4.92,405.3,8.21,3.2,0.698,0.7,1.876,7.68,3.766,4
clc,2017-08-17,21.944,726.2,4.95,405.2,8.21,3.39,0.698,0.7,1.958,8.01,3.767,4
clc,2017-08-17,21.945,726.2,5,405.2,8.21,3.48,0.695,0.7,1.914,7.83,3.768,4
clc,2017-08-17,21.886,726.3,4.32,406.4,8.14,3.14,0.595,0.6,1.65,6.77,4.388,4.5
clc,2017-08-17,21.887,726.3,4.32,406.4,8.14,3.2,0.564,0.57,1.633,6.7,4.392,4.5
clc,2017-08-17,21.887,726.2,4.33,406.3,8.14,3.1,0.594,0.6,1.704,6.99,4.397,4.5
clc,2017-08-17,21.755,726.3,3.22,407.7,8.03,2.86,0.337,0.34,1.1,4.57,4.802,5
clc,2017-08-17,21.756,726.2,3.21,407.7,8.03,2.87,0.35,0.35,1.11,4.61,4.791,5
clc,2017-08-17,21.764,726.1,3.25,407.6,8.03,2.88,0.389,0.39,1.145,4.75,4.785,5
clc,2017-08-17,21.727,726.2,2.98,408.1,8,2.85,0.334,0.34,0.925,3.86,5.376,5.5
clc,2017-08-17,21.721,726.1,2.92,408.3,7.99,2.72,0.349,0.35,0.932,3.89,5.374,5.5
clc,2017-08-17,21.717,726.2,2.86,408.2,7.99,2.96,0.33,0.33,0.998,4.15,5.374,5.5
clc,2017-08-17,21.704,726.1,2.79,408.4,7.97,2.69,0.284,0.29,0.939,3.92,5.809,6
clc,2017-08-17,21.701,726.1,2.8,408.5,7.97,2.62,0.323,0.33,0.908,3.8,5.819,6
clc,2017-08-17,21.694,726.2,2.77,408.6,7.97,2.63,0.322,0.32,0.911,3.81,5.826,6
clc,2017-08-17,21.655,726.2,2.34,409.6,7.91,2.71,0.312,0.32,1.004,4.18,6.388,6.5
clc,2017-08-17,21.656,726.2,2.34,409.5,7.91,2.76,0.284,0.29,0.995,4.14,6.388,6.5
clc,2017-08-17,21.658,726.1,2.35,409.5,7.91,2.67,0.28,0.28,0.932,3.89,6.387,6.5
clc,2017-08-17,21.615,726.2,1.76,410.8,7.86,2.88,0.263,0.27,0.888,3.72,6.804,7
clc,2017-08-17,21.616,726.2,1.76,410.8,7.86,2.96,0.258,0.26,0.881,3.69,6.812,7
clc,2017-08-17,21.616,726.1,1.76,410.7,7.86,2.76,0.271,0.27,0.89,3.72,6.819,7
clc,2017-08-17,21.566,726.2,1.33,412.3,7.82,3.65,0.245,0.25,0.797,3.35,7.399,7.5
clc,2017-08-17,21.566,726.1,1.33,412.3,7.81,3.59,0.247,0.25,0.815,3.42,7.4,7.5
clc,2017-08-17,21.565,726.2,1.32,412.4,7.81,3.6,0.226,0.23,0.842,3.53,7.406,7.5
clc,2017-08-17,21.543,726.1,1.12,412.9,7.79,4.04,0.206,0.21,0.783,3.29,7.847,8
clc,2017-08-17,21.538,726.1,1.09,412.9,7.79,4.02,0.201,0.2,0.788,3.31,7.844,8
clc,2017-08-17,21.534,726.1,1.05,413,7.78,4.17,0.216,0.22,0.853,3.57,7.844,8
clc,2017-08-17,21.503,726.2,0.76,413.6,7.75,4.74,0.226,0.23,0.785,3.3,8.435,8.5
clc,2017-08-17,21.499,726.1,0.73,413.7,7.75,4.79,0.224,0.23,0.758,3.19,8.428,8.5
clc,2017-08-17,21.496,726.1,0.71,413.7,7.75,4.83,0.228,0.23,0.74,3.12,8.429,8.5
clc,2017-08-17,21.48,726.2,0.62,414.1,7.73,5.48,0.183,0.19,0.701,2.97,8.86,9
clc,2017-08-17,21.48,726.1,0.62,414,7.74,5.49,0.186,0.19,0.669,2.84,8.86,9
clc,2017-08-17,21.481,726.1,0.62,414,7.74,5.35,0.207,0.21,0.715,3.02,8.859,9
clc,2017-08-17,21.464,726.2,0.51,414.5,7.72,5.65,0.175,0.18,0.623,2.65,9.416,9.5
clc,2017-08-17,21.464,726.2,0.52,414.5,7.72,5.65,0.161,0.16,0.642,2.73,9.418,9.5
clc,2017-08-17,21.463,726.2,0.52,414.5,7.72,5.78,0.155,0.16,0.651,2.76,9.421,9.5
clc,2017-08-17,21.447,726.2,0.4,414.8,7.71,5.66,0.177,0.18,0.598,2.55,9.837,10
clc,2017-08-17,21.446,726.1,0.39,414.8,7.7,5.57,0.15,0.15,0.587,2.51,9.836,10
clc,2017-08-17,21.443,726.1,0.38,414.9,7.7,5.52,0.157,0.16,0.623,2.65,9.837,10
clc,2017-08-17,21.387,726.1,0.04,416.2,7.67,6.64,0.208,0.21,0.776,3.26,10.414,10.5
clc,2017-08-17,21.387,726.1,0.04,416.2,7.66,6.81,0.22,0.22,0.805,3.38,10.404,10.5
