"date","storage.10e6.m3_mean","elevation.m_mean","discharge.m3.s_mean","precip.mm_mean","airtemp.C_mean","wind.dir.deg_mean","wind.speed.km.hr_mean","storage.10e6.m3_sd","elevation.m_sd","discharge.m3.s_sd","precip.mm_sd","airtemp.C_sd","wind.dir.deg_sd","wind.speed.km.hr_sd","storage.10e6.m3_sum","elevation.m_sum","discharge.m3.s_sum","precip.mm_sum","airtemp.C_sum","wind.dir.deg_sum","wind.speed.km.hr_sum","storage.m3","discharge.m3.d","res.time"
"2017-01-18",23431.0095833333,386.88625,17.51125,0.025,0.556666666666667,271.332916666667,-0.06,128.390589810908,0.0334121170418338,0.0418394966301086,0.0675663924692176,0.11653201339086,17.3375241397698,0,562344.23,9285.27,420.27,0.6,13.36,6511.99,-1.44,23431009.5833333,1512972,15.4867436960719
"2017-01-19",23151.29875,386.813458333333,17.4525,0,-0.199583333333333,231.998333333333,0.787083333333333,58.8447766742966,0.0153140434744142,0.0228891468490691,0,0.619034867084776,51.3393938639603,1.9417349462399,555631.17,9283.523,418.86,0,-4.79,5567.96,18.89,23151298.75,1507896,15.3533789797174
"2017-01-20",22885.19625,386.744208333333,17.4429166666667,0.0416666666666667,-0.168333333333333,141.535833333333,0.650416666666667,102.383411776836,0.0266441594328696,0.0282040957042189,0.10179547554081,0.914846942136351,14.6361434444848,2.06701734109944,549244.71,9281.861,418.63,1,-4.04,3396.86,15.61,22885196.25,1507068,15.1852446273161
"2017-01-21",22632.3854166667,386.678416666667,17.3666666666667,0.0166666666666667,2.31708333333333,170.004583333333,0.304166666666667,70.3627239492473,0.0183111196121169,0.0419799814266247,0.056465970257328,1.34371477035045,59.1544920547343,1.2709459560455,543177.25,9280.282,416.8,0.4,55.61,4080.11,7.3,22632385.4166667,1500480,15.0834302467655
"2017-01-22",24224.6129166667,387.086041666667,17.5879166666667,0.0166666666666667,1.92166666666667,133.757916666667,0.26125,850.519487926819,0.212824990189767,0.122899010031272,0.056465970257328,0.5541673477167,9.23132897265877,1.128786622498,581390.71,9290.065,422.11,0.4,46.12,3210.19,6.27,24224612.9166667,1519596,15.9414824181339
"2017-01-23",27869.7554166667,387.95475,24.6475,0.0166666666666667,0.915833333333333,111.310416666667,0.141666666666667,1050.0189666195,0.240624956239412,7.77757101346977,0.0816496580927726,0.454407561429228,19.0895456203848,0.554245799079345,668874.13,9310.914,591.54,0.4,21.98,2671.45,3.4,27869755.4166667,2129544,13.0871939798692
"2017-01-24",30131.6954166667,388.461166666667,33.7195833333333,0,-0.58625,224.779166666667,0.934583333333333,339.839714507208,0.0730875988212063,0.0494736791388739,0,0.365558684993139,120.663095179951,2.14338005955783,723160.69,9323.068,809.27,0,-14.07,5394.7,22.43,30131695.4166667,2913372,10.3425499444172
"2017-01-25",30173.8070833333,388.47025,28.1245833333333,0.0583333333333333,0.53,228.751666666667,0.169583333333333,156.196504149468,0.0335497683527312,8.98367455524145,0.110006587418037,0.837293777335779,62.0170502969646,0.937195071182769,724171.37,9323.286,674.99,1.4,12.72,5490.04,4.07,30173807.0833333,2429964,12.417388522354
"2017-01-26",30789.2522727273,388.602454545455,11.62,0.1,0.589166666666667,274.62,5.42666666666667,443.142928506215,0.0951848963972952,4.07838319972628,0.131876094679157,1.05146240465639,19.9045260310749,12.0404375432076,677363.55,8549.254,255.64,2.4,14.14,6590.88,130.24,30789252.2727273,1003968,30.6675633812306
"2017-01-27",31967.9929166667,388.855625,13.0795833333333,0.05,-2.415,272.470833333333,2.22708333333333,254.375991936605,0.0546290355190295,2.56443481215591,0.206418738616856,0.5813028844572,10.8529134203745,8.33162674191941,767231.83,9332.535,313.91,1.2,-57.96,6539.3,53.45,31967992.9166667,1130076,28.2883566385506
"2017-01-28",32397.4491666667,388.946625,14.74,0,-3.81416666666667,257.714166666667,0.189166666666667,27.5014718841939,0.00558579331487878,0.0212643813228478,0,0.336270034692186,14.5464323779935,0.991252684262682,777538.78,9334.719,353.76,0,-91.54,6185.14,4.54,32397449.1666667,1273536,25.4389739800576
"2017-01-29",32295.4325,388.9255,14.72,0,-7.03166666666667,286.45875,0.103333333333333,85.0842831882139,0.017798387811701,0.0131876094679158,0,1.94675352198534,20.9780801360766,0.632576970169169,775090.38,9334.212,353.28,0,-168.76,6875.01,2.48,32295432.5,1271808,25.3933239136725
"2017-01-30",31867.7391666667,388.834083333333,14.6970833333333,0.108333333333333,-10.5395833333333,257.489166666667,0.752916666666667,155.951582673616,0.0334961602817914,0.0262892219056747,0.343785406608689,2.27540054604185,52.1601058545094,1.59888678438324,764825.74,9332.018,352.73,2.6,-252.95,6179.74,18.07,31867739.1666667,1269828,25.0961068480666
"2017-01-31",31305.7570833333,388.713375,14.6466666666667,0,-6.2275,135.086666666667,1.04875,181.593247874837,0.0390036926902863,0.0251373041110422,0,2.34820606828499,23.7937431795158,2.04581930542137,751338.17,9329.121,351.52,0,-149.46,3242.08,25.17,31305757.0833333,1265472,24.7384036022396
